username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,,,,,,
nandito,nandito35582474,4/3/2019 13:52,0,0,"Didalam masa pemerintahan @ jokowi indonesia maju dan bersih tampa adanya tangan kotor # JokoWIN17April""",,@,#,1.11333E+18,https://twitter.com/nandito35582474/status/1113333370245615616,,,,,,
Joko Kentir,JokoKentir20,4/3/2019 13:50,0,0,Kampanye Terbuka 01 di Palembang tgl 2-4-2019 Mantul...pic.twitter.com/DvKTyeSS23,,,,1.11333E+18,https://twitter.com/JokoKentir20/status/1113333015193706496,,,,,,
Lusi,Lusiancela03,4/3/2019 13:49,1,1,Kita dukung Pak Jokowi karena Jokowi orang baik # RabuPutihJokowiMenangpic.twitter.com/J3SGaVN4DO,,,#,1.11333E+18,https://twitter.com/Lusiancela03/status/1113332574451933186,,,,,,
INDIKATOR,indikatorcoid,4/3/2019 13:42,1,4,"APPROVAL RATING & EVALUASI KONDISI UMUM Dibanding Desember, kepuasan atas kinerja Jokowi sebagai presiden saat ini cenderung menguat. pic.twitter.com/5TUvYplGZb",,,,1.11333E+18,https://twitter.com/indikatorcoid/status/1113330815180640256,,,,,,
Natasya,Natasyamaju,4/3/2019 13:34,0,0,Bekerka setulus hati Pak Jokowi orang hebat pic.twitter.com/bhLRFdJaWg,,,,1.11333E+18,https://twitter.com/Natasyamaju/status/1113328899637673984,,,,,,
Della Bonanza,BirdellaBonanza,4/3/2019 13:29,3,2,"Pemimpin terbaik memiliki integritas, tanggung jawab, jujur, adil, dan peduli rakyat. Seperti pak jokowi. # RabuPutihJokowiMenangpic.twitter.com/q5P1135z1x",,,#,1.11333E+18,https://twitter.com/BirdellaBonanza/status/1113327710623817728,,,,,,
Raúl,SiegerAnwalt,4/3/2019 13:07,15,17,"Jokowi di Kendari BAPAKKUUUUU"" pic.twitter.com/7NwpSgjCJU""",,,,1.11332E+18,https://twitter.com/SiegerAnwalt/status/1113322104890359809,,,,,,
Jaenudin,pussm3ong,4/3/2019 12:32,0,0,setelah dapet kartu pintarpic.twitter.com/amYs0NL7zb,,,,1.11331E+18,https://twitter.com/pussm3ong/status/1113313230229622784,,,,,,
Dewi Y,DewiY97772088,4/3/2019 11:09,1,4,# Pilih01Aja jokowi dong pic.twitter.com/J9uy4UmlDu,,,#,1.11329E+18,https://twitter.com/DewiY97772088/status/1113292394865209344,,,,,,
Dodi Febriansyah,DodiFebriansya8,4/3/2019 10:50,1,0,Jokowi menang Lagi # RabuPutihJokowiMenangpic.twitter.com/0qdJfUK2WC,,,#,1.11329E+18,https://twitter.com/DodiFebriansya8/status/1113287748624846848,,,,,,
