username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,,,,,,
Jax,JackVardan,3/31/2019 8:44,1050,1751,"Kata siapa pelabuhan komersil non militer tidak bisa dikuasai oleh asing? Coba pak Jokowi, bagaimana jatuhnya Bandara dan Pelabuhan Hambantota Srilanka, Gwadar Port Pakistan, dan Port Of Djibouti yang berdiri pangkalan militer China. Itu semua karena invasi bertopeng investasi.",,,,1.11217E+18,https://twitter.com/JackVardan/status/1112168634158182400,,,,,,
Joko Widodo,jokowi,3/31/2019 8:41,4328,23286,"Selamat pagi. Semalam, bersama Sedah Mirah. Semangat dan optimisme mengurus bangsa ini bukan semata-mata untuk kita hari ini, tapi bagi masa depan anak dan cucu kita.pic.twitter.com/WQjLhvnxAd",,,,1.11217E+18,https://twitter.com/jokowi/status/1112168015867473920,,,,,,
Muhammad Said Didu,saididu,3/31/2019 8:01,3262,8242,"Bapak Presiden @ jokowi yth, ngototnya Bapak tadi malam bhw infrastruktur strategis seperti pelabuhan dan bandara tdk apa dikuasai asing, menjadi pembenar hipotesa saya selama ini bhw jiwa nasionalisme Bapak masih perlu ditingkatkan.",,@,,1.11216E+18,https://twitter.com/saididu/status/1112158058463924224,,,,,,
IamCinta,Iam_Cinta89,3/31/2019 7:29,45,81,Hari ini agenda pak @ Jokowi kampanye terbuka di Makassar. # EwakoJokowiAmin Kita Optimis01 unggul di Makassar. Pendukung 01 angkat jempolnya... pic.twitter.com/JzdglO4pbb,,@,#,1.11215E+18,https://twitter.com/Iam_Cinta89/status/1112149840060772352,,,,,,
Ferdinand Hutahaean,FerdinandHutah2,3/31/2019 7:10,271,580,"Sudahlah pak @ jokowi , profesionalisme Polri jgn rusak demi kepentingan kekuasaanmu. Jangan seret Polri ke politik, biarkan mereka menjadi pelindung pengayom masyarakat. Jangan rusak yang sudah baik di era SBY. # SavePolriFromPolitics",,@,#,1.11214E+18,https://twitter.com/FerdinandHutah2/status/1112144989536944129,,,,,,
Ferdinand Hutahaean,FerdinandHutah2,3/31/2019 7:04,213,572,Porli pasti ingin mandiri dan profesional. Polri pasti tak ingin ikut bermain politik apalagi terlibat memenangkan salah satu paslon pilpres. Tp penguasa yg ingin terus berkuasa dgn segala caralah yg menyeret mrk ke politik. Yg salah Jokowi bkn Polri. # SavePolriFromPolitics,,,#,1.11214E+18,https://twitter.com/FerdinandHutah2/status/1112143555693207553,,,,,,
Olivia Nieke Yuliane,nieke_aereta,3/31/2019 7:02,88,496,"Selesai nonton Debat Capres. Sy mungkin beda dgn kalian, Gengs. Mataku menggenang di babak closing statement. Hormat sy u/performnya Pak @ jokowi yg tenang malam ini. Pak @ prabowo stunning to the max, proud Sy vote PS08 u/INA yg makmur & bahagia. We INA # 2019GantiPresidenpic.twitter.com/NEk8QvwjsO",,@ @,#,1.11214E+18,https://twitter.com/nieke_aereta/status/1112142988132708352,,,,,,
Ferdinand Hutahaean,FerdinandHutah2,3/31/2019 6:52,430,991,"Saya sedih bila Profesionalisme Polri yang dibangun susah payah era SBY, harus rusak dijaman Jokowi. Pak Jokowi, kami tau bahwa Polri ingin profesional dan tdk ingin main politik. Jangan seret Polri ke politik demi kekuasaanmu wahai pak Jokowi..!! # SavePolriFromPolitics",,,#,1.11214E+18,https://twitter.com/FerdinandHutah2/status/1112140605285515264,,,,,,
Firdaus,Firdaus_062017,3/31/2019 6:48,12,21,Ini lebih independenpic.twitter.com/sC3ZmTfuwt,,,,1.11214E+18,https://twitter.com/Firdaus_062017/status/1112139508978311171,,,,,,
Nana,ronavioleta,3/31/2019 6:37,1965,2744,Pak @ jokowi ini ada sanggahan dari relawan yg hingga detik ini terus melaksanakan program kemanusiaan di kamp pengungsi Rohingya pic.twitter.com/QVI3fr47jl,,@,,1.11214E+18,https://twitter.com/ronavioleta/status/1112136682432692224,,,,,,
Mine,Mine240172,3/31/2019 6:27,8,9,Pelabuhan dan Bandara ada Obvit strategis untuk Kedaulatan suatu Negara . Bukan hanya Pelabuhan dan Bandara TNI yg tmsk Obvit @ jokowi tp semua Pelabuhan pic.twitter.com/zrXukO8bnV,,@,,1.11213E+18,https://twitter.com/Mine240172/status/1112134239061835777,,,,,,
Friel_Parna,FrielParna,3/31/2019 6:05,3,11,pak @ jokowi pasti menang # jokowi2periodepic.twitter.com/2upej6pZzp,,@,#,1.11213E+18,https://twitter.com/FrielParna/status/1112128805441691648,,,,,,
Christ Wamea,ChristWamea,3/31/2019 3:17,198,459,"Debat semlm PAK HENDRO & PAK LUHUT dengar sendiri kata2 tulus dari bpk Jokowi bhw beliau sgt yakin PRABOWO SUBIANTO adlh seorang yg PANCASILAIS, NASIONALIS & PATRIOTISME. Jadi jgn ada lagi propaganda bhw pilpres kali ini pertarungan antara KHILAFAH & PANCASILA krn itu fitnah. pic.twitter.com/qlnhWWaNju",,,,1.11209E+18,https://twitter.com/ChristWamea/status/1112086354865733632,,,,,,
Sang.Bidadari™,Surgabidadari3,3/31/2019 2:18,131,290,"Disaat pertahanan bangsa sedang rapuh kalian malah tertawa. . . Beliau tahu betul bagaimana kekuatan Indonesia saat ini. . . Debat kali ini g ada ampun buat jokowi, pilpres kali ini tak ada kata ngalah, insyAllah # 2019GantiPresiden # PrabowoMenangDebatpic.twitter.com/kYY0qR4kUN",,,# #,1.11207E+18,https://twitter.com/Surgabidadari3/status/1112071586444644357,,,,,,
Kanya Milliana,Kanya_Milliana,3/31/2019 1:34,320,940,"Tahun 2014, saya GOLPUT. Karena saat itu saya masih ragu pada Jokowi dan Prabowo. Saat itu mereka belum mampu meyakinkan saya untuk memilih salah satu diantara mereka. Namun setelah melihat semuanya, saya pastikan tahun 2019 tidak akan GOLPUT lagi! # 17AprilCoblosPrabowoSandipic.twitter.com/Dx63tdjmo9",,,#,1.11206E+18,https://twitter.com/Kanya_Milliana/status/1112060512945106944,,,,,,
Fadel Holic,fadelholic,3/31/2019 1:21,1844,3671,YTH Bapak @ prabowo Dulu saya menitip harapan lewat suara saya terhadap Pak @ jokowi Agar kondisi desa kami membaik.. Tapi jokowi Gagal.. Kini saya pastikan saya mendukung Anda Jendral. Semoga Amanah & perduli terhadap kemajuan desa2 terpencil.. Fadlul Chaliq Sekdes Desa Random pic.twitter.com/iZZXfXkiIg,,@ @,,1.11206E+18,https://twitter.com/fadelholic/status/1112057231409737729,,,,,,
Jokowi-Amin,Jokowi_Amin,3/31/2019 1:09,162,445,"Kekuatan dan pembangunan TNI nyata adanya. Lagi-lagi, jangan kita ragukan, tidak boleh pesimis. Setuju? In shaa Allah, @ jokowi 1 periode lagi. # PemerintahanDILANpic.twitter.com/mHGEadCWjK",,@,#,1.11205E+18,https://twitter.com/Jokowi_Amin/status/1112054198210715649,,,,,,
Pengagum Presiden Jokowi,JuniorPrangko,3/31/2019 0:42,8,18,Ingat 17 April 2019 Ingat TPS TPS = Tusuk Putih Saja # TusukPutihSaja # Pilih01BajuPutih Satukan dukungan dan tetap terus berdoa Semoga Bp Ir.H.Joko Widodo dapat terkabul menjadi Presiden RI 2019-2024 Bp Prof Dr K.H. Ma'ruf Amin dapat terkabul menjadi Wapres RI 2019-2024 Aminpic.twitter.com/pfsBF6z9S6,,,# #,1.11205E+18,https://twitter.com/JuniorPrangko/status/1112047537093898241,,,,,,
Helmi Felis,helmifelis,3/31/2019 0:38,1214,2669,Jokowi bilang ; angka 20 untuk indeks korupsi Indonesia tahun 1998 didapat dari KPK Padahal KPK baru ada tahun 2002. Harusnya presiden gak boleh bohong begitu. Ini kan HOAX namanya. Nah kalo Presiden yang buat hoax apa bisa kena UU Terrorisme? Payah Presiden kok bohong .,,,,1.11205E+18,https://twitter.com/helmifelis/status/1112046446147076096,,,,,,
Erick Thohir,erickthohir,3/31/2019 0:21,500,1399,Debat keempat ini semakin membuktikan bahwa Pak @ jokowi adalah sosok pemimpin yang tepat dan dapat membawa Kemajuan untuk Indonesia. # 01IndonesiaMajupic.twitter.com/e6l2kMlBox,,@,#,1.11204E+18,https://twitter.com/erickthohir/status/1112042068233207808,,,,,,
Erick Thohir,erickthohir,3/31/2019 0:21,1626,4475,"Pak Jokowi semakin memperlihatkan kematangan seorang pemimpin dan negarawan pada debat keempat malam ini. Beliau sangat tenang, matang dan fasih dalam menjawab berbagai pertanyaan yang diajukan. # 01IndonesiaMajupic.twitter.com/9CnFHWmlsU",,,#,1.11204E+18,https://twitter.com/erickthohir/status/1112042051850235904,,,,,,
Tan Liauw,TanGiokNi,3/31/2019 0:11,1048,1436,# DebatPilpres2019 barusan super seru.. Tapi lebih seru debat jokowi vs jokowi # PrabowoBentengNKRIpic.twitter.com/o46lP3jFkQ,,,# #,1.11204E+18,https://twitter.com/TanGiokNi/status/1112039695603515392,,,,,,
Ronnie Higuchi Rusli,Ronnie_Rusli,3/31/2019 0:11,643,1202,"Gak usah baca semua survey bodong yg cari duit dr Petahana nih hasil penelusuran di Google Trends dr hasil debat ke 4 periode 30 Maret 2019 di 4 jam terakhir, @ prabowo unggul (merah) dibanding @ jokowi (biru). Popularitas @ prabowo memuncak pada pukul 20.44 WIB.pic.twitter.com/89RfGlOuWE",,@ @ @,,1.11204E+18,https://twitter.com/Ronnie_Rusli/status/1112039603584679937,,,,,,
ᕱՈ☻Ոլ☻Кᕱլ,anonLokal,3/30/2019 23:55,151,270,Pak @ jokowi maap KPK berdiri 2002 bukan 1998 Yakin gak mau di RALAT pak?? Mudah2an besok di RALAT kek yg udah2... # PrabowoBentengNKRI # 01CapresPendustaAbadipic.twitter.com/WdGX2ofWEY,,@,# #,1.11204E+18,https://twitter.com/anonLokal/status/1112035663631704065,,,,,,
Yunita Maharani,YunitaMaharan1,3/30/2019 23:54,5,15,Jokowi mampu menjadi penjada Bhineka Tunggal Ika # MenangJokowiLagipic.twitter.com/GQJ3426X7h,,,#,1.11204E+18,https://twitter.com/YunitaMaharan1/status/1112035397561769985,,,,,,
Yunita Maharani,YunitaMaharan1,3/30/2019 23:52,5,9,"Jokowi hebat mampu wujudkan mimpi jadi nyata, # MenangJokowiLagipic.twitter.com/1q1hgrpypP",,,#,1.11203E+18,https://twitter.com/YunitaMaharan1/status/1112034962973184000,,,,,,
jokowhy,dhanydamara,3/30/2019 23:41,22,46,"Alhamdulillah punya baju putih untuk dipakai ke tps sesuai arahan pa jokowi, semoga sy tidak saltum terima kasih @ sorgemagz @ SayaGolput2019pic.twitter.com/sS4BxX2vHj",,@ @,,1.11203E+18,https://twitter.com/dhanydamara/status/1112032113363046401,,,,,,
Yunita Maharani,YunitaMaharan1,3/30/2019 23:23,10,17,Indonesia maju bersama Pak Jokowi harus berlanjut. Jokowi hebat # 01DILANjutkanpic.twitter.com/LVEmUDX1lU,,,#,1.11203E+18,https://twitter.com/YunitaMaharan1/status/1112027611553628160,,,,,,
Mang.Bud_,MANGBUD,3/30/2019 23:17,608,964,"Apa iya ini hasil nyata REVOLUSI MENTAL ala Pak Dhe @ jokowi? Prestasi @ KPK_RI nangkep teman makan siang pak Dhe, @ MRomahurmuziy. Kuatirnya bentar lagi KPK dtg istana, lalu dituduh MAKAR... # JokowiDiambangKekalahan # JokowiDiambangKekalahanhttps://m.detik.com/news/berita/d-4336488/ironi-peraih-revolusi-mental-award-jadi-tersangka-korupsi-di-kpk …",,@ @ @,# #,1.11203E+18,https://twitter.com/MANGBUD/status/1112026059371732992,,,,,,
erlangga greschinov.,Greschinov,3/30/2019 23:10,1375,1220,Pak Prabowo ngomong menggebu-gebu bukan berarti dia kasar atau galak. Pak Jokowi ngomong pelan juga bukan berarti dia lembek dan planga-plongo. Gaya ngomong itu sangat berkaitan dng latar belakang. Jadi kurasa gak perlu dipermasalahin sih.,,,,1.11202E+18,https://twitter.com/Greschinov/status/1112024256756408321,,,,,,
#01JokowiAmin,yusuf_dumdum,3/30/2019 23:07,175,431,Closing statement # DebatPilpres2019 dari pak @ Jokowi ini menyejukkan sekali. pic.twitter.com/7IsqM7KzLs,,@,#,1.11202E+18,https://twitter.com/yusuf_dumdum/status/1112023675463589888,,,,,,
M Samsul Arifin,arifinsamsulm,3/30/2019 22:58,243,485,"Hasil penelusuran di Google Trends periode 30 Maret 2019 untuk 4 jam terakhir, @ prabowo lebih populer dibanding @ jokowi. Popularitas @ prabowo memuncak pada pukul 20.44 WIB. Ada apa ya pada jam segitu? tentu yg nonton # DebatPilpres2019 ke-4 tahu. http://www.komunikonten.com pic.twitter.com/LS8hgPAMS7",,@ @ @,#,1.11202E+18,https://twitter.com/arifinsamsulm/status/1112021263369699329,,,,,,
MCL-Indonesia,MCL_Indonesia,3/30/2019 22:55,8,14,Jokowi: Radar maritim kita udah 100% Tapi kebobolan...ooppss... # PrabowoBentengNKRI # PrabowoTheNextLeaderpic.twitter.com/Y3GqUoyG3h,,,# #,1.11202E+18,https://twitter.com/MCL_Indonesia/status/1112020427151273984,,,,,,
ini siapa,purpleuv_,3/30/2019 22:54,3,7,"debat kali ini semakin yakin untuk memilih pak jokowi, krn sperti kata beliau yg terpenting bukanlah debat tapi tentang kesejahteraan rakyat indonesia, yakinlah bahwa rantai persahabatan kita tidak akan putus. # DebatPilpres2019pic.twitter.com/Vkon5ycb0J",,,#,1.11202E+18,https://twitter.com/purpleuv_/status/1112020279272697856,,,,,,
Jempol Nyinyir,SamSoegi,3/30/2019 22:54,492,2572,Polling debat capres menang siapa? Jokowi RT Prabowo Like # PecatanLebihTNIdariTNI,,,#,1.11202E+18,https://twitter.com/SamSoegi/status/1112020189082578945,,,,,,
2019GANTIPRESIDEN,YuinggaA,3/30/2019 22:53,21,51,Clossing statement jokowi mengisyaratkan perpisahan.. saya bangga dengan bapak. Segera bergegas pulang dan menyerahkan kekuasaan kepada yang lebih mempuni.. ayo pak pulang udah malem.. # JokowiDiambangKekalahanpic.twitter.com/2eiHZVzDQq,,,#,1.11202E+18,https://twitter.com/YuinggaA/status/1112019998262743041,,,,,,
Eko Widodo,ekowBoy,3/30/2019 22:50,862,1557,"Yang bilang Jokowi PKI kan pendukungnya sendiri, sudah mengakui secara terbuka.. kok curhatnya ke Prabowo?? # JokowiDiambangKekalahan # 01CapresPendustaAbadi # PrabowoBentengNKRIpic.twitter.com/WZ3fm4Mv1U",,,# # #,1.11202E+18,https://twitter.com/ekowBoy/status/1112019214896762880,,,,,,
seword,sewordcom,3/30/2019 22:47,73,169,Closing statement yg adem dari Pak @ jokowi Makin mantap # 17AprilCoblosBajuPutihpic.twitter.com/gU7yD7OWzZ,,@,#,1.11202E+18,https://twitter.com/sewordcom/status/1112018586254503936,,,,,,
Habib Think,habibthink,3/30/2019 22:44,423,1340,"Guys, gimana pendapatmu tentang penampilan kedua capres pada debat malam ini? Menurut gue Pak Jokowi menunjukkan dirinya sebagai capres yang paham masalah bangsa sedangkan Prabowo sepertinya ingin selalu berperang.",,,,1.11202E+18,https://twitter.com/habibthink/status/1112017679781490688,,,,,,
Silvy_Riau 🌸🌺,Silvy_riau,3/30/2019 22:42,1042,746,"Malam ini JOKOWI TAMAT !! Sepakat, RETWET # 01CapresPendustaAbadi",,,#,1.11202E+18,https://twitter.com/Silvy_riau/status/1112017232224108544,,,,,,
Partai Gerindra,Gerindra,3/30/2019 22:32,1169,4042,"Prabowo: Kalau berbeda, kita berbeda tentang kenegaraan. Ini namanya demokrasi. Tapi saya ingatkan lagi pak Jokowi, hati-hati dengan yang ABS-ABS itu. # PrabowoBentengNKRI",,,#,1.11201E+18,https://twitter.com/Gerindra/status/1112014830225940481,,,,,,
Fadli Zon,fadlizon,3/30/2019 22:32,1890,7280,"Statemen P @ jokowi barusan seperti Farewell speech, pidato perpisahan.",,@,,1.11201E+18,https://twitter.com/fadlizon/status/1112014733870133248,,,,,,
Ferdinand Hutahaean,FerdinandHutah2,3/30/2019 22:31,606,2025,"Kesimpulan debat malam ini, JOKOWI ternyata tak paham kondisi bangsa sesungguhnya.",,,,1.11201E+18,https://twitter.com/FerdinandHutah2/status/1112014459080507392,,,,,,
K.H. Iyut~Kafir Hybrid Iyut,kafiradikal,3/30/2019 22:25,575,1951,"...Menang telak ini sih...Anjay, Jokowi dibantai secara telak dalam debat...Gilak, Prabowo brutal malam ini. Materi melimpah nih buat makin bikin rezim terperosok...Really2 good job mister Prabowo.... HAHAHAHAHAHAHAHAHAHAHAHAHAHA... (``,)",,,,1.11201E+18,https://twitter.com/kafiradikal/status/1112012967812300800,,,,,,
Jalan Sunyi,eae18,3/30/2019 22:23,817,2572,Duh Pak @ prabowo ini baik banget. Kalau bicara Bahasa Inggris disertai artinya. Tahu ya kalau Pak @ jokowi gak bisa Bahasa Inggris. Prekkk,,@ @,,1.11201E+18,https://twitter.com/eae18/status/1112012392345432065,,,,,,
namira amin,namiramin2,3/30/2019 22:22,2,3,# DebatAsyikJokowi saya yakin pak jokowi bisa merawat demokrasi kita pic.twitter.com/edyoNAm8Gb,,,#,1.11201E+18,https://twitter.com/namiramin2/status/1112012279547990017,,,,,,
Early Dwiyanti,DwiyantiEarly,3/30/2019 22:20,3,2,Warga negara yang baik dan cerdas akan memilih pemimpin terbaik. Jokowi jawaban terbaik. # 01DILANjutkanpic.twitter.com/vLnLQZAfoL,,,#,1.11201E+18,https://twitter.com/DwiyantiEarly/status/1112011753523576832,,,,,,
Fadli Zon,fadlizon,3/30/2019 22:18,1981,6336,Politik luar negeri pemerintahan @ jokowi soal Rohingya hanya omdo. Nggak ada tuh repatriasi atas peran kita. Lebih byk peran Bangladesh. Hoaks,,@,,1.11201E+18,https://twitter.com/fadlizon/status/1112011173514244096,,,,,,
Zahrah Fitriani,ZahrahFitriani1,3/30/2019 22:16,64,97,"pemerintah an yg sigap melayani rakyay, bravoo Pak @ jokowi # PemerintahanDILANpic.twitter.com/VWhEcy74nd",,@,#,1.11201E+18,https://twitter.com/ZahrahFitriani1/status/1112010716771319808,,,,,,
ivan,ivandivya,3/30/2019 22:14,5,4,Isi pikiran Prabowo vs Jokowi: pic.twitter.com/aZXS9r8D6O,,,,1.11201E+18,https://twitter.com/ivandivya/status/1112010164150763520,,,,,,
Rachland Nashidik,RachlanNashidik,3/30/2019 22:11,3146,8105,"Pak @ jokowi, Anda tidak bisa mengklaim kerjasama pembuatan Kapal Selam RI dengan Korsel sebagai bagian dari karya Anda. Kerjasama yang melibatkan transfer of knowledge dan pembuatan kapal ketiga di PT PAL itu adalah buah kebijakan Pak SBY.",,@,,1.11201E+18,https://twitter.com/RachlanNashidik/status/1112009529632251907,,,,,,
AZZAM_AZKHA ☝️❤,azkha_azzam,3/30/2019 22:11,55,168,"Kekhawatiran pak @ prabowo soal bandara dan pelabuhan sebagai alat vital yang perlu di jaga, Di anggap pak @ jokowi terlalu berlebihan, Saya sbg rakyat mo bilang sekali lagi, gundulmu!!!!!!",,@ @,,1.11201E+18,https://twitter.com/azkha_azzam/status/1112009465786593286,,,,,,
Jonru Ginting,JonruGintingNew,3/30/2019 22:03,2839,6760,Dari debat malam ini TERBUKTI: @ jokowi dan @ prabowo sama-sama emosional. Prabowo emosi karena memikirkan keselamatan NKRI. Jokowi emosi karena merasa dirinya difitnah. Yang satu mikirin negara. Satunya lagi mikirin diri sendiri. # DebatPilpres2019 # PrabowoBentengNKRI,,@ @,# #,1.11201E+18,https://twitter.com/JonruGintingNew/status/1112007572125437952,,,,,,
Haidar,haidardicky,3/30/2019 21:49,2,2,Situ aja gatau pak terus kenapa bapak bahas kalo memang bukan salah pak jokowi? lebih TNI dari TNI? bukti bapak ngomong gitu apa? wkwk # JokowiDilan # PemerintahanDILANpic.twitter.com/y0hQN0Gdj8,,,# #,1.112E+18,https://twitter.com/haidardicky/status/1112003970006843392,,,,,,
Dede Budhyarto,kangdede78,3/30/2019 21:47,138,210,Wongsai kok ngajak perang lama yaa.. @ jokowi selalu mengajak maju demi Indonesia Si mental ciken ini selalu melihat kebelakang trs tntg pengalamannya. Zaman sdh brjlan maju bro, sdh byk pula prubhan yg ada," tak bs Move on? Msh dendam ya ragara DIPECAT # PemerintahanDILANpic.twitter.com/P1nPiieLRD""",,@,#,1.112E+18,https://twitter.com/kangdede78/status/1112003450013777920,,,,
2019GantiOtak,velische,3/30/2019 21:43,50,57,Pokoknya udah cocok # 01DILANjutkan aja yg lain ngawur..pic.twitter.com/YEkqemApls,,,#,1.112E+18,https://twitter.com/velische/status/1112002361990406144,,,,,,
INCU ABAH,AcepSantanaWij1,3/30/2019 21:35,43,44,"Ayo ikuti polling berikut ini: Jika hari ini pilpres diselenggarakan, siapa Capres pilihan kamu? - No. Urutan 2. PRABOWO 94% - No. Urutan 1. JOKOWI 6% Total Suara: 731 Berikan suara anda, klik link https://pollingkita.com/10523?ref=tw",,,,1.112E+18,https://twitter.com/AcepSantanaWij1/status/1112000401048371200,,,,,,
feby_ch,feby_ch,3/30/2019 21:35,2,2,Pak Jokowi yg melakukan # 01DILANjutkanpic.twitter.com/jzgwjV4T6f,,,#,1.112E+18,https://twitter.com/feby_ch/status/1112000312783441921,,,,,,
NurHikma,NurHikm41290840,3/30/2019 21:31,30,74,"Bayar Pajak Bisa dirumah dan tanpa harus ke kantor pajak, lalu antri.. MANTAP Pak @ jokowi Pilihanku tetap No. 1 # 01DILANjutkan # DebatAsyikJokowi # MarufAminAdalahKoentji # KESAN @ P3nj3l4j4h @ woelannnn @ 4Y4NKZ @ pujangga1123 @ hana_4TAA @ wahhabicc_jabar @ BiLLRaY_pic.twitter.com/kZ3DlNC4Kw",,@ @ @ @ @ @ @ @,# # # #,1.112E+18,https://twitter.com/NurHikm41290840/status/1111999471947112448,,,,,,
Farhat Abbas,FarhatA73157311,3/30/2019 21:30,4,9,"Ini tanggapanku mengenai debat capres malam ini,, apa pendapatmu? @ # bantufarhatabbasdprri # jokowi pic.twitter.com/O6lI1AaQkH",,@,# #,1.112E+18,https://twitter.com/FarhatA73157311/status/1111999087363018753,,,,,,
Andhyta F. Utami,Afutami,3/30/2019 21:19,1117,1893,"Gue pernah bilang bahwa cara melawan kebohongan bukan dengan periksa fakta, tapi lewat kontra narasi. Apa yang Jokowi lakukan barusan adalah contohnya: alih-alih mendebat kenapa rasio anggaran pertahanan ke PDB cukup, beliau bilang Prabowo nggak percaya TNI."" Well done.""",,,,1.112E+18,https://twitter.com/Afutami/status/1111996387523067904,,,,,,
rafi,slthnrafi,3/30/2019 21:14,4134,2517,Prabowo Jokowi kok bisa arguing without crying,,,,1.112E+18,https://twitter.com/slthnrafi/status/1111995025011818497,,,,,,
youtube: Permadi Arya TV,permadiaktivis,3/30/2019 21:11,630,1575,"beda mental pemimpin sama mental capres. @ prabowo baru dituduh khilafah sebulan udah baper. @ jokowi udah 4,5 tahun dituduh PKI santai aja beda mental pemimpin sama mental capres setipis ATM # DebatAsyikJokowipic.twitter.com/DMFd2xgRSO",,@ @,#,1.11199E+18,https://twitter.com/permadiaktivis/status/1111994339100520449,,,,,,
#01IndonesiaMaju,andreOPA,3/30/2019 21:11,141,209,"Prabowo selalu mengulang2 soal kekayaan diambil asing. Itu masa mertuanya kaleee. Sekarang Blok Rokan, Blok Mahakam, dan Freeport yg dulu dikeruk aseng lewat mertua Wowo kini dikembalikan @ jokowi ke Indonesia # PemerintahanDILANpic.twitter.com/H8Kt2sIOOP",,@,#,1.11199E+18,https://twitter.com/andreOPA/status/1111994329814331392,,,,,,
🐬🐬🐬,mumaxxmuma,3/30/2019 21:06,43,40,isi saku jokowi pic.twitter.com/1LXq10nrQV,,,,1.11199E+18,https://twitter.com/mumaxxmuma/status/1111993128318230529,,,,,,
Nona Cerdas,CerdasNona,3/30/2019 20:56,29,44,"Dalam bidang ideologi, Jokowi terus melakukan pembinaan Pancasila sebagai ideologi negara. # PemerintahanDILANpic.twitter.com/77cv5ZMW7s",,,#,1.11199E+18,https://twitter.com/CerdasNona/status/1111990542634643456,,,,,,
Zulfikar Akbar,zoelfick,3/30/2019 20:55,455,844,"Prabowo itu produk masa lalu. Terbiasa dengan mental masa lalu. Baginya, kekuasaan adalah kesempatan menguasai segalanya. Jokowi itu lahir dari keberanian dibutuhkan masa depan. Ia tidak bergantung pada nama besar siapa-siapa. Ia melawan mental-mental masa lalu.",,,,1.11199E+18,https://twitter.com/zoelfick/status/1111990356411744256,,,,,,
Mang.Bud_,MANGBUD,3/30/2019 20:50,262,595,"Katanya pak @ jokowi kl dituduh PKI: biasa-biasa"" aja...tapi di Jogja anda yg teriak dgn suar cempreng: ""Sekarang saya lawan!"". Bgm nih @ erickthohir & @ budimandjatmiko kok selalu berubah2 isi kepala jagoanmu itu ... # JokowiDiambangKekalahan # JokowiDiambangKekalahanpic.twitter.com/Q9H7DQZxjW""",,@ @ @,# #,1.11199E+18,https://twitter.com/MANGBUD/status/1111989180588945416,,,,,,
Ririn Riandini,ririnriandini,3/30/2019 20:45,2243,1449,Pak Jokowi kalo gak PKI berarti Pak Jokow,,,,1.11199E+18,https://twitter.com/ririnriandini/status/1111987751358881792,,,,,,
Sri Mulyani Larasati,MulyaniLarasati,3/30/2019 20:36,12,19,Momen Diplomasi Kelas Premium Ala Premium Ala Presiden Jokowi # PemerintahanDILANpic.twitter.com/ruwPqO7vtd,,,#,1.11199E+18,https://twitter.com/MulyaniLarasati/status/1111985541862420485,,,,,,
F-P-I,pedjoeang_islam,3/30/2019 20:34,165,202,info ini valid apa gak? Cc @ Dahnilanzar @ Gerindra @ prabowo @ sandiuno Mhn di croscek.. Seluruh ASN dan Pekerja Dinas Kontrak Pemkot Makassar di Ultimatum untuk mendukung Acara Kampanye Jokowi yang bertajuk Car Freeday.. # panik tingkat tinggi.pic.twitter.com/3ChcZrBGgj,,@ @ @ @,#,1.11199E+18,https://twitter.com/pedjoeang_islam/status/1111985033311485952,,,,,,
Raja Polling Official,Raja_Polling,3/30/2019 20:30,3934,1713,Siapakah yang memenangkan debat pilpres dan layak jadi presiden ke 8 NKRI # DebatCapres2019 @ jokowi @ prabowo Share dan RT ke para pendukung kalian Agar pilihan kalian menang....!!!!,,@ @,#,1.11198E+18,https://twitter.com/Raja_Polling/status/1111984076280348672,,,,,,
SitindaonNews.com,SitindaonZul,3/30/2019 20:28,122,487,"Jangan bilang aku menyalahkan Jokowi, aku hanya mau bilang fakta, saat aku pulang kampung, beginilah kondisi infrastruktur yg aku temukan hari Sabtu 30 Maret 2019 di Simalungun SUMUT. @ jansen_jsppic.twitter.com/VQIT4PFIVM",,@,,1.11198E+18,https://twitter.com/SitindaonZul/status/1111983527187251205,,,,,,
Ivana Windy,IvanaWindyyy,3/30/2019 20:26,13,15,Ayooooo pak @ jokowi sekali lagi # PemerintahanDILANpic.twitter.com/pLvRnW8ny0,,@,#,1.11198E+18,https://twitter.com/IvanaWindyyy/status/1111982926114152450,,,,,,
yankabimantara,yanka_bimantara,3/30/2019 20:25,4,8,Pemerintahan Dilan ? Apa itu ya pakde @ jokowi bisa aja # PemerintahanDILAN # DigitalMelayanipic.twitter.com/JRJpzCqxDX,,@,# #,1.11198E+18,https://twitter.com/yanka_bimantara/status/1111982867058327552,,,,,,
Doni,Doni87273180,3/30/2019 20:25,5,5,Pak Jokowi Bikin bangga indonesia # 01DILANjutkan dengan semakin banyaknya bandara baru diharapkan menciptakan efisiensi biaya dan waktu yang terjangkau.pic.twitter.com/zMCV8eiFCP,,,#,1.11198E+18,https://twitter.com/Doni87273180/status/1111982775874117633,,,,,,
milenial bertauhid,MilenialBertauh,3/30/2019 20:21,7,9,# PemerintahanDILAN pak Jokowi bicaranya lebih terarah dan terukur pic.twitter.com/d1ZJ1xP7wJ,,,#,1.11198E+18,https://twitter.com/MilenialBertauh/status/1111981890557214720,,,,,,
